Column #	Length	Item #	Item Name	Section
1919 - 1919	1	1980	ICD-O-2 Conversion Flag	Edit Overrides/Conversion History/System Admin
1920 - 1929	10	2081	CRC CHECKSUM	Edit Overrides/Conversion History/System Admin
1930 - 1930	1	2120	SEER Coding Sys--Current	Edit Overrides/Conversion History/System Admin
1931 - 1931	1	2130	SEER Coding Sys--Original	Edit Overrides/Conversion History/System Admin
1932 - 1933	2	2140	CoC Coding Sys--Current	Edit Overrides/Conversion History/System Admin
1934 - 1935	2	2150	CoC Coding Sys--Original	Edit Overrides/Conversion History/System Admin
1936 - 1945	10	2170	Vendor Name	Edit Overrides/Conversion History/System Admin
1946 - 1946	1	2180	SEER Type of Follow-Up	Edit Overrides/Conversion History/System Admin
1947 - 1948	2	2190	SEER Record Number	Edit Overrides/Conversion History/System Admin
1949 - 1950	2	2200	Diagnostic Proc 73-87	Edit Overrides/Conversion History/System Admin
1951 - 1958	8	2085	Date Case Initiated	Edit Overrides/Conversion History/System Admin
1959 - 1966	8	2090	Date Case Completed	Edit Overrides/Conversion History/System Admin
1967 - 1974	8	2092	Date Case Completed--CoC	Edit Overrides/Conversion History/System Admin
1975 - 1982	8	2100	Date Case Last Changed	Edit Overrides/Conversion History/System Admin
1983 - 1990	8	2110	Date Case Report Exported	Edit Overrides/Conversion History/System Admin
1991 - 1998	8	2111	Date Case Report Received	Edit Overrides/Conversion History/System Admin
1999 - 2006	8	2112	Date Case Report Loaded	Edit Overrides/Conversion History/System Admin
2007 - 2014	8	2113	Date Tumor Record Availbl	Edit Overrides/Conversion History/System Admin
2015 - 2015	1	2116	ICD-O-3 Conversion Flag	Edit Overrides/Conversion History/System Admin
2016 - 2016	1	3750	Over-ride CS 1	Edit Overrides/Conversion History/System Admin
2017 - 2017	1	3751	Over-ride CS 2	Edit Overrides/Conversion History/System Admin
2018 - 2018	1	3752	Over-ride CS 3	Edit Overrides/Conversion History/System Admin
2019 - 2019	1	3753	Over-ride CS 4	Edit Overrides/Conversion History/System Admin
2020 - 2020	1	3754	Over-ride CS 5	Edit Overrides/Conversion History/System Admin
2021 - 2021	1	3755	Over-ride CS 6	Edit Overrides/Conversion History/System Admin
2022 - 2022	1	3756	Over-ride CS 7	Edit Overrides/Conversion History/System Admin
2023 - 2023	1	3757	Over-ride CS 8	Edit Overrides/Conversion History/System Admin
2024 - 2024	1	3758	Over-ride CS 9	Edit Overrides/Conversion History/System Admin
2025 - 2025	1	3759	Over-ride CS 10	Edit Overrides/Conversion History/System Admin
2026 - 2026	1	3760	Over-ride CS 11	Edit Overrides/Conversion History/System Admin
2027 - 2027	1	3761	Over-ride CS 12	Edit Overrides/Conversion History/System Admin
2028 - 2028	1	3762	Over-ride CS 13	Edit Overrides/Conversion History/System Admin
2029 - 2029	1	3763	Over-ride CS 14	Edit Overrides/Conversion History/System Admin
2030 - 2030	1	3764	Over-ride CS 15	Edit Overrides/Conversion History/System Admin
2031 - 2031	1	3765	Over-ride CS 16	Edit Overrides/Conversion History/System Admin
2032 - 2032	1	3766	Over-ride CS 17	Edit Overrides/Conversion History/System Admin
2033 - 2033	1	3767	Over-ride CS 18	Edit Overrides/Conversion History/System Admin
2034 - 2034	1	3768	Over-ride CS 19	Edit Overrides/Conversion History/System Admin
2035 - 2035	1	3769	Over-ride CS 20	Edit Overrides/Conversion History/System Admin
2036 - 2115	80	1650	Reserved 08	Edit Overrides/Conversion History/System Admin
2116 - 2123	8	1750	Date of Last Contact	Follow-up/Recurrence/Death
2124 - 2125	2	1751	Date of Last Contact Flag	Follow-up/Recurrence/Death
2126 - 2126	1	1760	Vital Status	Follow-up/Recurrence/Death
2127 - 2127	1	1770	Cancer Status	Follow-up/Recurrence/Death
2128 - 2128	1	1780	Quality of Survival	Follow-up/Recurrence/Death
2129 - 2129	1	1790	Follow-Up Source	Follow-up/Recurrence/Death
2130 - 2130	1	1800	Next Follow-Up Source	Follow-up/Recurrence/Death
2131 - 2180	50	1810	Addr Current--City	Follow-up/Recurrence/Death
2181 - 2182	2	1820	Addr Current--State	Follow-up/Recurrence/Death
2183 - 2191	9	1830	Addr Current--Postal Code	Follow-up/Recurrence/Death
2192 - 2194	3	1840	County--Current	Follow-up/Recurrence/Death
2195 - 2195	1	2700	Reserved 17	Follow-up/Recurrence/Death
2196 - 2203	8	1860	Recurrence Date--1st	Follow-up/Recurrence/Death
2204 - 2205	2	1861	Recurrence Date--1st Flag	Follow-up/Recurrence/Death
2206 - 2207	2	1880	Recurrence Type--1st	Follow-up/Recurrence/Death
2208 - 2257	50	1842	Follow-Up Contact--City	Follow-up/Recurrence/Death
2258 - 2259	2	1844	Follow-Up Contact--State	Follow-up/Recurrence/Death
2260 - 2268	9	1846	Follow-Up Contact--Postal	Follow-up/Recurrence/Death
2269 - 2272	4	1910	Cause of Death	Follow-up/Recurrence/Death
2273 - 2273	1	1920	ICD Revision Number	Follow-up/Recurrence/Death
2274 - 2274	1	1930	Autopsy	Follow-up/Recurrence/Death
2275 - 2277	3	1940	Place of Death	Follow-up/Recurrence/Death
2278 - 2279	2	1791	Follow-up Source Central	Follow-up/Recurrence/Death
2280 - 2287	8	1755	Date of Death--Canada	Follow-up/Recurrence/Death
2288 - 2289	2	1756	Date of Death--CanadaFlag	Follow-up/Recurrence/Death
2290 - 2291	2	1850	Unusual Follow-Up Method	Follow-up/Recurrence/Death
2292 - 2339	48	1740	Reserved 09	Follow-up/Recurrence/Death
2340 - 3339	1000	2220	State/Requestor Items	Special Use
3340 - 3379	40	2230	Name--Last	Patient-Confidential
3380 - 3419	40	2240	Name--First	Patient-Confidential
3420 - 3459	40	2250	Name--Middle	Patient-Confidential
3460 - 3462	3	2260	Name--Prefix	Patient-Confidential
3463 - 3465	3	2270	Name--Suffix	Patient-Confidential
3466 - 3505	40	2280	Name--Alias	Patient-Confidential
3506 - 3545	40	2390	Name--Maiden	Patient-Confidential
3546 - 3605	60	2290	Name--Spouse/Parent	Patient-Confidential
3606 - 3616	11	2300	Medical Record Number	Patient-Confidential
3617 - 3618	2	2310	Military Record No Suffix	Patient-Confidential
3619 - 3627	9	2320	Social Security Number	Patient-Confidential
3628 - 3687	60	2330	Addr at DX--No & Street	Patient-Confidential
3688 - 3747	60	2335	Addr at DX--Supplementl	Patient-Confidential
3748 - 3807	60	2350	Addr Current--No & Street	Patient-Confidential
3808 - 3867	60	2355	Addr Current--Supplementl	Patient-Confidential
3868 - 3877	10	2360	Telephone	Patient-Confidential
3878 - 3883	6	2380	DC State File Number	Patient-Confidential
3884 - 3943	60	2394	Follow-Up Contact--Name	Patient-Confidential
3944 - 4003	60	2392	Follow-Up Contact--No&St	Patient-Confidential
4004 - 4063	60	2393	Follow-Up Contact--Suppl	Patient-Confidential
4064 - 4073	10	2352	Latitude	Patient-Confidential
4074 - 4084	11	2354	Longitude	Patient-Confidential
4085 - 4284	200	1835	Reserved 10	Patient-Confidential
4285 - 4294	10	2445	NPI--Following Registry	Hospital-Confidential
4295 - 4304	10	2440	Following Registry	Hospital-Confidential
4305 - 4314	10	2415	NPI--Inst Referred From	Hospital-Confidential
4315 - 4324	10	2410	Institution Referred From	Hospital-Confidential
4325 - 4334	10	2425	NPI--Inst Referred To	Hospital-Confidential
4335 - 4344	10	2420	Institution Referred To	Hospital-Confidential
4345 - 4394	50	1900	Reserved 11	Hospital-Confidential
4395 - 4404	10	2465	NPI--Physician--Managing	Other-Confidential
4405 - 4412	8	2460	Physician--Managing	Other-Confidential
4413 - 4422	10	2475	NPI--Physician--Follow-Up	Other-Confidential
4423 - 4430	8	2470	Physician--Follow-Up	Other-Confidential
4431 - 4440	10	2485	NPI--Physician--Primary Surg	Other-Confidential
4441 - 4448	8	2480	Physician--Primary Surg	Other-Confidential
4449 - 4458	10	2495	NPI--Physician 3	Other-Confidential
4459 - 4466	8	2490	Physician 3	Other-Confidential
4467 - 4476	10	2505	NPI--Physician 4	Other-Confidential
4477 - 4484	8	2500	Physician 4	Other-Confidential
4485 - 4534	50	2510	Reserved 12	Other-Confidential
4535 - 4559	25	7010	Path Reporting Fac ID 1	Pathology
4560 - 4579	20	7090	Path Report Number 1	Pathology
4580 - 4593	14	7320	Path Date Spec Collect 1	Pathology
4594 - 4595	2	7480	Path Report Type 1	Pathology
4596 - 4620	25	7190	Path Ordering Fac No 1	Pathology
4621 - 4640	20	7100	Path Order Phys Lic No 1	Pathology
4641 - 4665	25	7011	Path Reporting Fac ID 2	Pathology
4666 - 4685	20	7091	Path Report Number 2	Pathology
4686 - 4699	14	7321	Path Date Spec Collect 2	Pathology
4700 - 4701	2	7481	Path Report Type 2	Pathology
4702 - 4726	25	7191	Path Ordering Fac No 2	Pathology
4727 - 4746	20	7101	Path Order Phys Lic No 2	Pathology
4747 - 4771	25	7012	Path Reporting Fac ID 3	Pathology
4772 - 4791	20	7092	Path Report Number 3	Pathology
4792 - 4805	14	7322	Path Date Spec Collect 3	Pathology
4806 - 4807	2	7482	Path Report Type 3	Pathology
4808 - 4832	25	7192	Path Ordering Fac No 3	Pathology
4833 - 4852	20	7102	Path Order Phys Lic No 3	Pathology
4853 - 4877	25	7013	Path Reporting Fac ID 4	Pathology
4878 - 4897	20	7093	Path Report Number 4	Pathology
4898 - 4911	14	7323	Path Date Spec Collect 4	Pathology
4912 - 4913	2	7483	Path Report Type 4	Pathology
4914 - 4938	25	7193	Path Ordering Fac No 4	Pathology
4939 - 4958	20	7103	Path Order Phys Lic No 4	Pathology
4959 - 4983	25	7014	Path Reporting Fac ID 5	Pathology
4984 - 5003	20	7094	Path Report Number 5	Pathology
5004 - 5017	14	7324	Path Date Spec Collect 5	Pathology
5018 - 5019	2	7484	Path Report Type 5	Pathology
5020 - 5044	25	7194	Path Ordering Fac No 5	Pathology
5045 - 5064	20	7104	Path Order Phys Lic No 5	Pathology
5065 - 5564	500	2080	Reserved 13	Pathology
5565 - 6564	1000	2520	Text--DX Proc--PE	Text-Diagnosis
6565 - 7564	1000	2530	Text--DX Proc--X-ray/Scan	Text-Diagnosis
7565 - 8564	1000	2540	Text--DX Proc--Scopes	Text-Diagnosis
8565 - 9564	1000	2550	Text--DX Proc--Lab Tests	Text-Diagnosis
9565 - 10564	1000	2560	Text--DX Proc--Op	Text-Diagnosis
10565 - 11564	1000	2570	Text--DX Proc--Path	Text-Diagnosis
11565 - 11664	100	2580	Text--Primary Site Title	Text-Diagnosis
11665 - 11764	100	2590	Text--Histology Title	Text-Diagnosis
11765 - 12764	1000	2600	Text--Staging	Text-Diagnosis
12765 - 13764	1000	2610	RX Text--Surgery	Text-Treatment
13765 - 14764	1000	2620	RX Text--Radiation (Beam)	Text-Treatment
14765 - 15764	1000	2630	RX Text--Radiation Other	Text-Treatment
15765 - 16764	1000	2640	RX Text--Chemo	Text-Treatment
16765 - 17764	1000	2650	RX Text--Hormone	Text-Treatment
17765 - 18764	1000	2660	RX Text--BRM	Text-Treatment
18765 - 19764	1000	2670	RX Text--Other	Text-Treatment
19765 - 20764	1000	2680	Text--Remarks	Text-Miscellaneous
20765 - 20824	60	2690	Text--Place of Diagnosis	Text-Miscellaneous
20825 - 22824	2000	2210	Reserved 14	Text-Miscellaneous
