Code,Type,Term,Select for,Changes starting with 2015 cases,,,,,
8230/3,Rpt,Solid adenocarcinoma with mucin formation,,,,,,,
8231/3,Rpt,Carcinoma simplex,,,,,,,
8240/1,,Carcinoid tumor of uncertain malignant potential,,,,,,,
8240/1,,"Carcinoid tumor, argentaffin, NOS",,,,,,,
8240/1,,"Carcinoid tumor, NOS, of appendix Use code 8240/3 in 2015",,X,,,,,
8240/3,Rpt,"Carcinoid tumor, NOS",,,,,,,
8240/3,Rpt,"Carcinoid, NOS",,,,,,,
8240/3,Rpt,"Carcinoid tumor, NOS, of appendix",,,,,,,
8240/3,Rpt,"Carcinoid, NOS, of appendix",,,,,,,
8240/3,Rpt,Typical carcinoid,,,,,,,
8240/3,Rpt,"Bronchial adenoma, carcinoid",,,,,,,
8240/3,Rpt,"Neuroendocrine tumor, grade 1",,,,,,,
8240/3,Rpt,"Neuroendocrine carcinoma, low grade",,,,,,,
8240/3,Rpt,"Neuroendocrine carcinoma, well-differentiated",,,,,,,
8240/3,Rpt,Enterochromaffin cell carcinoid,,,,,,,
8240/3,Rpt,"Carcinoid tumor, NOS",,,,,,,
8240/3,Rpt,"Carcinoid, NOS",,,,,,,
8241/3,Rpt,Enterochromaffin-cell carcinoid,,,,,,,
8241/3,Rpt,"Carcinoid tumor, argentaffin, malignant",,,,,,,
8241/3,Rpt,EC cell carcinoid,,,,,,,
8241/3,Rpt,Serotonin producing carcinoid,,,,,,,
8242/1,,Enterochromaffin-like cell carcinoid,,,,,,,
8242/1,,"ECL cell carcinoid, NOS",,,,,,,
8242/3,Rpt,"Enterochromaffin-like cell tumor, malignant",,,,,,,
8242/3,Rpt,"ECL cell carcinoid, malignant",,,,,,,
8243/3,Rpt,Goblet cell carcinoid,,,,,,,
8243/3,Rpt,Mucocarcinoid tumor,,,,,,,
8243/3,Rpt,Mucinous carcinoid,,,,,,,
8244/3,Rpt,Mixed adenoneuroendocrine carcinoma,,,,,,,
8244/3,Rpt,Composite carcinoid,,,,,,,
8244/3,Rpt,Combined/mixed carcinoid and adenocarcinoma,,,,,,,
8243/3,Rpt,Mixed carcinoid-adenocarcinoma,,,,,,,
8243/3,Rpt,MANEC,,,,,,,
8245/1,,Tubular carcinoid,,,,,,,
8245/3,Rpt,Adenocarcinoid tumor,,,,,,,
8246/3,Rpt,"Neuroendocrine carcinoma, NOS",,,,,,,
8247/3,Rpt,Merkel cell carcinoma,,,,,,,
8247/3,Rpt,Merkel cell tumor,,,,,,,
8247/3,Rpt,Primary cutaneous neuroendocrine carcinoma,,,,,,,
8248/1,,Apudoma,,,,,,,
8249/3,Rpt,Atypical carcinoid tumor,,,,,,,
8249/3,Rpt,"Neuroendocrine tumor, grade 2",,,,,,,
8249/3,Rpt,"Neuroendocrine carcinoma, moderately differentiated",,,,,,,
8250/1,,Pulmonary adenomatosis,,,,,,,
8250/3,Rpt,"Bronchiolo-alveolar adenocarcinoma, NOS",,,,,,,
8250/3,Rpt,"Bronchiolo-alveolar carcinoma, NOS",,,,,,,
8250/3,Rpt,Bronchiolar carcinoma,,,,,,,
8250/3,Rpt,Alveolar cell carcinoma,,,,,,,
8251/0,,Alveolar adenoma,,,,,,,
8251/3,Rpt,Alveolar adenocarcinoma,,,,,,,
8251/3,Rpt,Alveolar carcinoma,,,,,,,
8252/3,Rpt,"Bronchiolo-alveolar carcinoma, non- mucinous",,,,,,,
8252/3,Rpt,"Bronchiolo-alveolar carcinoma, Clara cell",,,,,,,
8252/3,Rpt,"Bronchiolo-alveolar carcinoma, type II pneumocyte",,,,,,,
8253/3,Rpt,"Bronchiolo-alveolar carcinoma, mucinous",,,,,,,
8253/3,Rpt,"Bronchiolo-alveolar carcinoma, goblet cell type",,,,,,,
8254/3,Rpt,"Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",,,,,,,
8254/3,Rpt,"Bronchiolo-alveolar carcinoma, Clara cell and goblet cell type",,,,,,,
8254/3,Rpt,"Bronchiolo-alveolar carcinoma, type II pneumocyte and goblet cell type",,,,,,,
8254/3,Rpt,"Bronchiolo-alveolar carcinoma, indeterminate type",,,,,,,
8255/3,Rpt,Adenocarcinoma with mixed subtypes,,,,,,,
8255/3,Rpt,Adenocarcinoma combined with other types of carcinoma,,,,,,,
8260/0,,"Papillary adenoma, NOS",,,,,,,
8260/0,,Glandular papilloma,,,,,,,
8260/3,Rpt,"Papillary adenocarcinoma, NOS",,,,,,,
8260/3,Rpt,Papillary carcinoma of thyroid,,,,,,,
8260/3,Rpt,Papillary renal cell carcinoma,,,,,,,
8261/0,,"Villous adenoma, NOS",,,,,,,
8261/0,,Villous papilloma,,,,,,,
8261/2,Rpt,Adenocarcinoma in situ in villous adenoma,,,,,,,
8261/3,Rpt,Adenocarcinoma in villous adenoma,,,,,,,
8262/3,Rpt,Villous adenocarcinoma,,,,,,,
8263/0,,"Tubulovillous adenoma, NOS",,,,,,,
8263/0,,Villoglandular adenoma,,,,,,,
8263/0,,Papillotubular adenoma,,,,,,,
8263/2,Rpt,Adenocarcinoma in situ in tubulovillous adenoma,,,,,,,
8263/3,Rpt,Adenocarcinoma in tubulovillous adenoma,,,,,,,
8263/3,Rpt,Tubulo-papillary adenoma,,,,,,,
8263/3,Rpt,Papillotubular adenocarcinoma,,,,,,,
8263/3,Rpt,Tubulopapillary adenocarcinoma,,,,,,,
8264/0,,"Papillomatosis, glandular",,,,,,,
8264/0,,Biliary papillomatosis,,,,,,,
8265/3,Rpt,"Micropapillary carcinoma, NOS (C18._, C19.9, C20.9)  Use code 8507/3 in 2015",,X,,,,,
8270/0,,Chromophobe adenoma,,,,,,,
8270/3,Rpt,Chromophobe carcinoma,,,,,,,
8270/3,Rpt,Chromophobe adenocarcinoma,,,,,,,
8271/0,,Prolactinoma,,,,,,,
8272/0,Rpt,"Pituitary adenoma, NOS",,,,,,,
8272/3,Rpt,"Pituitary carcinoma, NOS",,,,,,,
8280/0,,Acidophil adenoma,,,,,,,
8280/0,,Eosinophil adenoma,,,,,,,
8280/3,Rpt,Acidophil carcinoma,,,,,,,
8280/3,Rpt,Acidophil adenocarcinoma,,,,,,,
8280/3,Rpt,Eosinophil carcinoma,,,,,,,
8280/3,Rpt,Eosinophil adenocarcinoma,,,,,,,
8281/0,,Mixed acidophil-basophil adenoma,,,,,,,
8281/3,Rpt,Mixed acidophil-basophil carcinoma,,,,,,,
8290/0,,Oxyphilic adenoma,,,,,,,
8290/0,,Oncocytic adenoma,,,,,,,
8290/0,,Oncocytoma,,,,,,,
8290/0,,Hurthle cell adenoma,,,,,,,
8290/0,,Hurthle cell tumor,,,,,,,
8290/0,,"Follicular adenoma, oxyphilic cell",,,,,,,
8290/0,,Spindle cell oncocytoma (C75.1),,,,,,,
8290/3,Rpt,Oxyphilic adenocarcinoma,,,,,,,
8290/3,Rpt,Oncocytic carcinoma,,,,,,,
8290/3,Rpt,Oncocytic adenocarcinoma,,,,,,,
8290/3,Rpt,Hurthle cell carcinoma,,,,,,,
8290/3,Rpt,Hurthle cell adenocarcinoma,,,,,,,
8290/3,Rpt,"Follicular carcinoma, oxyphilic cell",,,,,,,
8300/0,,Basophil adenoma,,,,,,,
8300/0,,Mucoid cell adenoma,,,,,,,
8300/3,Rpt,Basophil carcinoma,,,,,,,
8300/3,Rpt,Basophil adenocarcinoma,,,,,,,
8300/3,Rpt,Mucoid cell adenocarcinoma,,,,,,,
8310/0,,Clear cell adenoma,,,,,,,
8310/3,Rpt,"Clear cell adenocarcinoma, NOS",,,,,,,
8310/3,Rpt,Clear cell carcinoma,,,,,,,
8310/3,Rpt,"Clear cell adenocarcinoma, mesonephroid",,,,,,,
8312/3,Rpt,"Renal cell carcinoma, NOS",,,,,,,
8312/3,Rpt,Renal cell adenocarcinoma,,,,,,,
8313/0,,Clear cell adenofibroma,,,,,,,
8313/0,,Clear cell cystadenofibroma,,,,,,,
8313/1,,Clear cell adenofibroma of borderline malignancy,,,,,,,
8313/1,,Clear cell cystadenofibroma of borderline malignancy,,,,,,,
8313/3,Rpt,Clear cell adenocarcinofibroma,,,,,,,
8313/3,Rpt,Clear cell cystadenocarcinofibroma,,,,,,,
8314/3,Rpt,Lipid-rich carcinoma,,,,,,,
8315/3,Rpt,Glycogen-rich carcinoma,,,,,,,
8316/3,Rpt,Cyst-associated renal cell carcinoma,,,,,,,
8317/3,Rpt,"Renal cell carcinoma, chromophobe type",,,,,,,
8317/3,Rpt,Chromophobe cell renal carcinoma,,,,,,,
8318/3,Rpt,"Renal cell carcinoma, sarcomatoid",,,,,,,
8318/3,Rpt,"Renal cell carcinoma, spindle cell",,,,,,,
8319/3,Rpt,Collecting duct carcinoma,,,,,,,
8319/3,Rpt,Bellini duct carcinoma,,,,,,,
8319/3,Rpt,"Renal carcinoma, collecting duct type",,,,,,,
8320/3,Rpt,Granular cell carcinoma,,,,,,,
8320/3,Rpt,Granular cell adenocarcinoma,,,,,,,
8321/0,,Chief cell adenoma,,,,,,,
8322/0,,Water-clear cell adenoma,,,,,,,
8322/3,Rpt,Water-clear cell adenocarcinoma,,,,,,,
8322/3,Rpt,Water-clear cell carcinoma,,,,,,,
8323/0,,Mixed cell adenoma,,,,,,,
8323/3,Rpt,Mixed cell adenocarcinoma,,,,,,,
8324/0,,Lipoadenoma,,,,,,,
8324/0,,Adenolipoma,,,,,,,
8325/0,,Metanephric adenoma,,,,,,,
8330/0,,Follicular adenoma,,,,,,,
8330/1,,Atypical follicular adenoma,,,,,,,
8330/3,Rpt,"Follicular adenocarcinoma, NOS",,,,,,,
8330/3,Rpt,"Follicular carcinoma, NOS",,,,,,,
8331/3,Rpt,"Follicular adenocarcinoma, well differentiated",,,,,,,
8331/3,Rpt,"Follicular carcinoma, well differentiated",,,,,,,
8332/3,Rpt,"Follicular adenocarcinoma, trabecular",,,,,,,
8332/3,Rpt,"Follicular carcinoma, trabecular",,,,,,,
8332/3,Rpt,"Follicular adenocarcinoma, moderately differentiated",,,,,,,
8332/3,Rpt,"Follicular carcinoma, moderately differentiated",,,,,,,
8333/0,,"Microfollicular adenoma, NOS",,,,,,,
8333/0,,Fetal adenoma,,,,,,,
8333/3,Rpt,Fetal adenocarcinoma,,,,,,,
8334/0,,Macrofollicular adenoma,,,,,,,
8334/0,,Colloid adenoma,,,,,,,
8335/3,Rpt,"Follicular carcinoma, minimally invasive",,,,,,,
8335/3,Rpt,"Follicular carcinoma, encapsulated",,,,,,,
8336/0,,Hyalinizing trabecular adenoma,,,,,,,
8337/3,Rpt,Insular carcinoma,,,,,,,
8340/3,Rpt,"Papillary carcinoma, follicular variant",,,,,,,
8340/3,Rpt,"Papillary adenocarcinoma, follicular variant",,,,,,,
8340/3,Rpt,Papillary and follicular adenocarcinoma,,,,,,,
8340/3,Rpt,Papillary and follicular carcinoma,,,,,,,
8341/3,Rpt,Papillary microcarcinoma,,,,,,,
8342/3,Rpt,"Papillary carcinoma, oxyphilic cell",,,,,,,
8343/3,Rpt,"Papillary carcinoma, encapsulated",,,,,,,
8344/3,Rpt,"Papillary carcinoma, columnar cell",,,,,,,
8344/3,Rpt,"Papillary carcinoma, tall cell",,,,,,,
8345/3,Rpt,Medullary carcinoma with amyloid stroma,,,,,,,
8345/3,Rpt,Parafollicular cell carcinoma,,,,,,,
8345/3,Rpt,C cell carcinoma,,,,,,,
8346/3,Rpt,Mixed medullary-follicular carcinoma,,,,,,,
8347/3,Rpt,Mixed medullary-papillary carcinoma,,,,,,,
8350/3,Rpt,Nonencapsulated sclerosing carcinoma,,,,,,,
8350/3,Rpt,Nonencapsulated sclerosing adenocarcinoma,,,,,,,
8350/3,Rpt,Nonencapsulated sclerosing tumor,,,,,,,
8350/3,Rpt,"Papillary carcinoma, diffuse sclerosing",,,,,,,
8360/1,,Multiple endocrine adenomas,,,,,,,
8360/1,,Endocrine adenomatosis,,,,,,,
8361/0,,Juxtaglomerular tumor,,,,,,,
8361/0,,Reninoma,,,,,,,
8370/0,,"Adrenal cortical adenoma, NOS",,,,,,,
8370/0,,"Adrenal cortical tumor, benign",,,,,,,
8370/0,,"Adrenal cortical tumor, NOS",,,,,,,
8370/3,Rpt,Adrenal cortical carcinoma,,,,,,,
8370/3,Rpt,Adrenal cortical adenocarcinoma,,,,,,,
8370/3,Rpt,"Adrenal cortical tumor, malignant",,,,,,,
8371/0,,"Adrenal cortical adenoma, compact cell",,,,,,,
8372/0,,"Adrenal cortical adenoma, pigmented",,,,,,,
8372/0,,Black adenoma,,,,,,,
8372/0,,Pigmented adenoma,,,,,,,
8373/0,,"Adrenal cortical adenoma, clear cell",,,,,,,
8374/0,,"Adrenal cortical adenoma, glomerulosa cell",,,,,,,
8375/0,,"Adrenal cortical adenoma, mixed cell",,,,,,,
8380/0,,"Endometrioid adenoma, NOS",,,,,,,
8380/0,,"Endometrioid cystadenoma, NOS",,,,,,,
8380/1,,"Endometrioid adenoma, borderline malignancy",,,,,,,
8380/1,,"Endometrioid cystadenoma, borderline malignancy",,,,,,,
8380/1,,Endometrioid tumor of low malignant potential,,,,,,,
8380/1,,Atypical proliferative endometrioid tumor,,,,,,,
8380/3,Rpt,"Endometrioid adenocarcinoma, NOS",,,,,,,
8380/3,Rpt,"Endometrioid carcinoma, NOS",,,,,,,
8380/3,Rpt,Endometrioid cystadenocarcinoma,,,,,,,
8381/0,,"Endometrioid adenofibroma, NOS",,,,,,,
8381/0,,"Endometrioid cystadenofibroma, NOS",,,,,,,
8381/1,,"Endometrioid adenofibroma, borderline malignancy",,,,,,,
8381/1,,"Endometrioid cystadenofibroma, borderline malignancy",,,,,,,
8381/3,Rpt,"Endometrioid adenofibroma, malignant",,,,,,,
8381/3,Rpt,"Endometrioid cystadenofibroma, malignant",,,,,,,
8382/3,Rpt,"Endometrioid adenocarcinoma, secretory variant",,,,,,,
8383/3,Rpt,"Endometrioid adenocarcinoma, ciliated cell variant",,,,,,,
8384/3,Rpt,"Adenocarcinoma, endocervical type",,,,,,,
8390/0,,Skin appendage adenoma,,,,,,,
8390/0,,"Skin appendage tumor, benign",,,,,,,
8390/0,,"Adnexal tumor, benign",,,,,,,
8390/3,Rpt,Skin appendage carcinoma,,,,,,,
8390/3,Rpt,Adnexal carcinoma,,,,,,,
8391/0,,Follicular fibroma,,,,,,,
8391/0,,Trichodiscoma,,,,,,,
8391/0,,Fibrofolliculoma,,,,,,,
8391/0,,Perifollicular fibroma,,,,,,,
8392/0,,Syringofibroadenoma,,,,,,,
8400/0,,Sweat gland adenoma,,,,,,,
8400/0,,"Sweat gland tumor, benign",,,,,,,
8400/0,,"Hidradenoma, NOS",,,,,,,
8400/0,,"Syringadenoma, NOS",,,,,,,
8400/1,,"Sweat gland tumor, NOS",,,,,,,
8400/3,Rpt,Sweat gland adenocarcinoma,,,,,,,
8400/3,Rpt,Sweat gland carcinoma,,,,,,,
8400/3,Rpt,"Sweat gland tumor, malignant",,,,,,,
8401/0,,Apocrine adenoma,,,,,,,
8401/0,,Apocrine cystadenoma,,,,,,,
8401/2,Rpt,"Apocrine adenoma, in situ",,,,,,,
8401/3,Rpt,Apocrine adenocarcinoma,,,,,,,
8402/0,,Nodular hidradenoma,,,,,,,
8402/0,,Eccrine acrospiroma,,,,,,,
8402/0,,Clear cell hidradenoma,,,,,,,
8402/3,Rpt,"Nodular hidradenoma, malignant",,,,,,,
8402/3,Rpt,Hidradenocarcinoma,,,,,,,
8403/0,,Eccrine spiradenoma,,,,,,,
8403/0,,"Spiradenoma, NOS",,,,,,,
8403/3,Rpt,Malignant eccrine spiradenoma,,,,,,,
8404/0,,Hidrocystoma,,,,,,,
8404/0,,Eccrine cystadenoma,,,,,,,
8405/0,,Papillary hidradenoma,,,,,,,
8405/0,,Hidradenoma papilliferum,,,,,,,
8406/0,,Papillary syringadenoma,,,,,,,
8406/0,,Papillary syringocystadenoma,,,,,,,
8406/3,Rpt,Syringocystadenoma papilliferum,,,,,,,
8407/0,,"Syringoma, NOS",,,,,,,
8407/3,Rpt,Sclerosing sweat duct carcinoma,,,,,,,
8407/3,Rpt,Syringomatous carcinoma,,,,,,,
8407/3,Rpt,Microcystic adnexal carcinoma,,,,,,,
8408/0,,Eccrine papillary adenoma,,,,,,,
8408/1,,Aggressive digital papillary adenoma,,,,,,,
8408/3,Rpt,Eccrine papillary adenocarcinoma,,,,,,,
8408/3,Rpt,Digital papillary adenocarcinoma,,,,,,,
8409/0,,Eccrine poroma,,,,,,,
8409/3,Rpt,"Eccrine poroma, malignant",,,,,,,
8409/3,Rpt,Porocarcinoma,,,,,,,
8410/0,,Sebaceous adenoma,,,,,,,
8410/0,,Sebaceous epithelioma,,,,,,,
8410/3,Rpt,Sebaceous adenocarcinoma,,,,,,,
8410/3,Rpt,Sebaceous carcinoma,,,,,,,
8413/3,Rpt,Eccrine adenocarcinoma,,,,,,,
8420/0,,Ceruminous adenoma,,,,,,,
8420/3,Rpt,Ceruminous adenocarcinoma,,,,,,,
8420/3,Rpt,Ceruminous carcinoma,,,,,,,
8430/3,Rpt,Mucoepidermoid carcinoma,,,,,,,
8440/0,,"Cystadenoma, NOS",,,,,,,
8440/0,,"Cystoma, NOS",,,,,,,
8440/3,Rpt,"Cystadenocarcinoma, NOS",,,,,,,
8441/0,,"Serous cystadenoma, NOS",,,,,,,
8441/0,,Serous cystoma,,,,,,,
8441/0,,Serous microcystic adenoma,,,,,,,
8441/3,Rpt,"Serous cystadenocarcinoma, NOS",,,,,,,
8441/3,Rpt,"Serous adenocarcinoma, NOS",,,,,,,
8441/3,Rpt,"Serous carcinoma, NOS",,,,,,,
8442/1,,"Serous cystadenoma, borderline malignancy",,,,,,,
8442/1,,"Serous tumor, NOS, of low malignant potential",,,,,,,
8442/1,,Atypical proliferating serous tumor,,,,,,,
8443/0,,Clear cell cystadenoma,,,,,,,
8444/1,,Clear cell cystic tumor of borderline malignancy,,,,,,,
8444/1,,Atypical proliferating clear cell tumor,,,,,,,
8450/0,,"Papillary cystadenoma, NOS",,,,,,,
8450/3,Rpt,"Papillary cystadenocarcinoma, NOS",,,,,,,
8450/3,Rpt,Papillocystic adenocarcinoma,,,,,,,
8451/1,,"Papillary cystadenoma, borderline malignancy",,,,,,,
8452/1,,Solid pseudopapillary tumor,,,,,,,
8452/1,,Papillary cystic tumor,,,,,,,
8452/1,,Solid and papillary epithelial neoplasm,,,,,,,
8452/1,,Solid and cystic tumor,,,,,,,
8452/3,Rpt,Solid pseudopapillary carcinoma,,,,,,,
8453/0,,Intraductal papillary-mucinous adenoma,,,,,,,
8453/0,,Intraductal papillary-mucinous tumor with low grade dysplasia (C25._),,,,,,,
8453/0,,Intraductal papillary-mucinous neoplasm with low grade dysplasia (C25._),,,,,,,
8453/0,,Intraductal papillary-mucinous tumor with moderate dysplasia,,,,,,,
8453/0,,Intraductal papillary-mucinous neoplasm with moderate dysplasia (C25._),,,,,,,
8453/0,,Intraductal papillary-mucinous tumor with intermediate dysplasia (C25._),,,,,,,
8453/0,,"Intraductal papillary-mucinous carcinoma, invasive",,,,,,,
8453/2,Rpt,"Intraductal papillary-mucinous carcinoma, non-invasive",,,,,,,
8453/2,Rpt,Intraductal papillary-mucinous neoplasm with high dysplasia ,,,,,,,
8453/3,Rpt,"Intraductal papillary mucinous carcinoma, invasive",,,,,,,
8453/3,Rpt,Intraductal papillary mucinous neoplasm with an associated invasive carcinoma,,,,,,,
8454/0,,Cystic tumor of atrio-ventricular node,,,,,,,
8460/0,,"Papillary serous cystadenoma, NOS",,,,,,,
8460/3,Rpt,Papillary serous cystadenocarcinoma,,,,,,,
8460/3,Rpt,Papillary serous adenocarcinoma,,,,,,,
8460/3,Rpt,Micropapillary serous carcinoma,,,,,,,
8461/0,,Serous surface papilloma,,,,,,,
8461/3,Rpt,Serous surface papillary carcinoma,,,,,,,
8461/3,Rpt,Primary serous papillary carcinoma of peritoneum,,,,,,,
8462/1,,Serous papillary cystic tumor of borderline malignancy,,,,,,,
8462/1,,"Papillary serous cystadenoma, borderline malignancy",,,,,,,
8462/1,,Papillary serous tumor of low malignant potential,,,,,,,
8462/1,,Atypical proliferative papillary serous tumor,,,,,,,
8463/1,,Serous surface papillary tumor of borderline malignancy,,,,,,,
8470/0,,"Mucinous cystadenoma, NOS",,,,,,,
8470/0,,Mucinous cystoma,,,,,,,
8470/0,,"Pseudomucinous cystadenoma, NOS",,,,,,,
8470/0,,Mucinous cystic tumor with moderate dysplasia,,,,,,,
8470/0,,Mucinous cystic tumor with intermediate dysplasia (C25._),,,,,,,
8470/0,,Mucinous cystic neoplasm with low-grade intraepithelial neoplasia (C22._),,,,,,,
8470/0,,Mucinous cystic neoplasm with intermediate-grade intraepithelial neoplasia (C22._),,,,,,,
8470/0,,Mucinous cystic neoplasm with low-grade dysplasia (C25._),,,,,,,
8470/0,,Mucinous cystic neoplasm with intermediate-grade dysplasia (C25._),,,,,,,
8470/0,,Mucinous cystic tumor with moderate dysplasia (C25._),,,,,,,
8470/2,Rpt,"Mucinous cystadenocarcinoma, non-invasive",,,,,,,
8470/2,Rpt,Mucinous cystic tumor with high-grade intraepithelial neoplasia (C25._),,,,,,,
8470/2,Rpt,Mucinous cystic tumor with high-grade dysplasia (C25._),,,,,,,
8470/3,Rpt,"Mucinous cystadenocarcinoma, NOS",,,,,,,
8470/3,Rpt,Pseudomucinous adenocarcinoma,,,,,,,
8470/3,Rpt,"Pseudomucinous cystadenocarcinoma, NOS",,,,,,,
8470/3,Rpt,Mucinous cystic tumor with an associated invasive carcinoma (C25._),,,,,,,
8470/3,Rpt,Mucinous cystic neoplasm with an associated invasive carcinoma (C25._),,,,,,,
8471/0,,"Papillary mucinous cystadenoma, NOS",,,,,,,
8471/0,,"Papillary pseudomucinous cystadenoma, NOS",,,,,,,
8471/3,Rpt,Papillary mucinous cystadenocarcinoma,,,,,,,
8471/3,Rpt,Papillary pseudomucinous cystadenocarcinoma,,,,,,,
8472/1,,Mucinous cystic tumor of borderline malignancy,,,,,,,
8472/1,,"Mucinous cystadenoma, borderline malignancy",,,,,,,
8472/1,,"Pseudomucinous cystadenoma, borderline malignancy",,,,,,,
8472/1,,"Mucinous tumor, NOS, of low malignant potential",,,,,,,
8472/1,,Atypical proliferative mucinous tumor,,,,,,,
8473/1,,"Papillary mucinous cystadenoma, borderline malignancy",,,,,,,
8473/1,,"Papillary pseudomucinous cystadenoma, borderline malignancy",,,,,,,
8473/1,,Papillary mucinous tumor of low malignant potential,,,,,,,
8480/0,,Mucinous adenoma,,,,,,,
8480/1,,Low grade appendiceal mucinous neoplasm (C18.1),,,,,,,
8480/3,Rpt,Mucinous adenocarcinoma,,,,,,,
8480/3,Rpt,Mucinous carcinoma,,,,,,,
8480/3,Rpt,Colloid adenocarcinoma,,,,,,,
8480/3,Rpt,Colloid carcinoma,,,,,,,
8480/3,Rpt,Gelatinous adenocarcinoma,,,,,,,
8480/3,Rpt,Gelatinous carcinoma,,,,,,,
8480/3,Rpt,Mucoid adenocarcinoma,,,,,,,
8480/3,Rpt,Mucoid carcinoma,,,,,,,
8480/3,Rpt,Mucous adenocarcinoma,,,,,,,
8480/3,Rpt,Mucous carcinoma,,,,,,,
8480/3,Rpt,Pseudomyxoma peritonei with unknown primary site,,,,,,,
8480/6,Rpt,Pseudomyxoma peritonei,,,,,,,
8481/3,Rpt,Mucin-producing adenocarcinoma,,,,,,,
8481/3,Rpt,Mucin-producing carcinoma,,,,,,,
8481/3,Rpt,Mucin-secreting adenocarcinoma,,,,,,,
8481/3,Rpt,Mucin-secreting carcinoma,,,,,,,
8482/3,Rpt,"Mucinous adenocarcinoma, endocervical type",,,,,,,
8490/3,Rpt,Signet ring cell carcinoma,,,,,,,
8490/3,Rpt,Signet ring cell adenocarcinoma,,,,,,,
8490/3,Rpt,Metastatic signet ring cell carcinoma,,,,,,,
8490/3,Rpt,Poorly cohesive carcinoma,,,,,,,
8490/3,Rpt,Krukenberg tumor,,,,,,,
8500/2,Rpt,"Intraductal carcinoma, noninfiltrating, NOS",,,,,,,
8500/2,Rpt,"Intraductal adenocarcinoma, noninfiltrating, NOS",,,,,,,
8500/2,Rpt,"Intraductal carcinoma, NOS",,,,,,,
8500/2,Rpt,"Ductal carcinoma in situ, NOS",,,,,,,
8500/2,Rpt,"DCIS, NOS",,,,,,,
8500/2,Rpt,Ductal intraepithelial neoplasia 3,,,,,,,
8500/2,Rpt,DIN 3,,,,,,,
8500/3,Rpt,"Infiltrating duct carcinoma, NOS",,,,,,,
8500/3,Rpt,Infiltrating duct adenocarcinoma,,,,,,,
8500/3,Rpt,"Duct adenocarcinoma, NOS",,,,,,,
8500/3,Rpt,"Duct carcinoma, NOS",,,,,,,
8500/3,Rpt,Duct cell carcinoma,,,,,,,
8500/3,Rpt,"Ductal carcinoma, NOS",,,,,,,
8501/2,Rpt,"Comedocarcinoma, noninfiltrating",,,,,,,
8501/2,Rpt,"Ductal carcinoma in situ, comedo type",,,,,,,
8501/2,Rpt,"DCIS, comedo type",,,,,,,
8501/3,Rpt,"Comedocarcinoma, NOS",,,,,,,
8502/3,Rpt,Secretory carcinoma of breast,,,,,,,
8502/3,Rpt,Juvenile carcinoma of breast,,,,,,,
8503/0,,Intraductal papilloma,,,,,,,
8503/0,,"Duct adenoma, NOS",,,,,,,
8503/0,,Ductal papilloma,,,,,,,
8503/2,Rpt,Noninfiltrating intraductal papillary adenocarcinoma,,,,,,,
8503/0,,Noninfiltrating intraductal papillary carcinoma,,,,,,,
8503/0,,"Intraductal papillary adenocarcinoma, NOS",,,,,,,
8503/2,Rpt,"Intraductal papillary carcinoma, NOS",,,,,,,
8503/2,Rpt,"Intraductal papillary neoplasm, NOS",,,,,,,
8503/2,Rpt,"Intraductal papillary neoplasm with low grade intraepithelial neoplasia (C22._,C24._)",,,,,,,
8503/2,Rpt,"Intraductal papillary neoplasm with intermediate grade intraepithelial neoplasia (C22._,C24._) ",,,,,,,
8503/2,Rpt,"Ductal carcinoma in situ, papillary",,,,,,,
8503/2,Rpt,"DCIS, papillary",,,,,,,
8503/2,Rpt,Intracystic papillary adenoma,,,,,,,
8503/2,Rpt,Intraductal papillary neoplasm with high grade intraepithelial neoplasia,,,,,,,
8503/2,Rpt,Intraductal papillary neoplasm with high grade dysplasia,,,,,,,
8503/2,Rpt,Intraductal papillary tumor with high grade intraepithelial neoplasia,,,,,,,
8503/2,Rpt,Intraductal papillary tumor with high grade dysplasia,,,,,,,
8503/2,Rpt,Intracystic papillary neoplasm with high grade intraepithelial neoplasia (23.9),,,,,,,
8503/2,Rpt,Intracystic papillary tumor with high grade intraepithelial neoplasia (23.9),,,,,,,
8503/2,Rpt,Intracystic papillary tumor with high grade dysplasia (23.9),,,,,,,
8503/3,Rpt,Intracystic papillary tumor with high grade entraepithelial neoplasia (23.9),,,,,,,
8503/2,Rpt,"Intrductal tubular-papillary neoplasm, high grade",,,,,,,
8503/3,Rpt,Intraductal papillary adenocarcinoma with invasion,,,,,,,
8503/3,Rpt,Infiltrating papillary adenocarcinoma,,,,,,,
8503/3,Rpt,Infiltrating and papillary adenocarcinoma,,,,,,,
8503/3,Rpt,Intraductal papillary neoplasm with associated invasive carcinoma,,,,,,,
8503/3,Rpt,Intracystic papillary neoplasm with associated invasive carcinoma (23.9),,,,,,,
8504/0,,Intracystic papillary adenoma,,,,,,,
8504/0,,Intracystic papilloma,,,,,,,
8504/2,Rpt,Noninfiltrating intracystic carcinoma,,,,,,,
8504/3,Rpt,"Intracystic carcinoma, NOS",,,,,,,
8504/3,Rpt,Intracystic papillary adenocarcinoma,,,,,,,
8505/0,,"Intraductal papillomatosis, NOS",,,,,,,
8505/0,,Diffuse intraductal papillomatosis,,,,,,,
8506/0,,Adenoma of nipple,,,,,,,
8506/0,,Subareolar duct papillomatosis,,,,,,,
