diagnosis_name,icdo3_code,synonym_name
"follicular carcinoma, minimally invasive",8335/3,minimally invasive follicular carcinoma
"follicular carcinoma, minimally invasive",8335/3,follicular carcinoma minimally invasive
"follicular carcinoma, minimally invasive",8335/3,encapsulated follicular carcinoma
"follicular carcinoma, minimally invasive",8335/3,follicular carcinoma encapsulated
"papillary carcinoma, follicular variant",8340/3,"papillary adenocarcinoma, follicular variant"
"papillary carcinoma, follicular variant",8340/3,papillary and follicular adenocarcinoma
"papillary carcinoma, follicular variant",8340/3,papillary and follicular carcinoma
"papillary carcinoma, follicular variant",8340/3,follicular variant papillary carcinoma
"papillary carcinoma, follicular variant",8340/3,papillary carcinoma follicular variant
"papillary carcinoma, follicular variant",8340/3,follicular variant papillary adenocarcinoma
"papillary carcinoma, follicular variant",8340/3,papillary adenocarcinoma follicular variant
"papillary carcinoma, oxyphilic cell",8342/3,oxyphilic cell papillary carcinoma
"papillary carcinoma, oxyphilic cell",8342/3,papillary carcinoma oxyphilic cell
"papillary carcinoma, encapsulated",8343/3,encapsulated papillary carcinoma
"papillary carcinoma, encapsulated",8343/3,papillary carcinoma encapsulated
"papillary carcinoma, columnar cell",8344/3,"papillary carcinoma, tall cell"
"papillary carcinoma, columnar cell",8344/3,columnar cell papillary carcinoma
"papillary carcinoma, columnar cell",8344/3,papillary carcinoma columnar cell
"papillary carcinoma, columnar cell",8344/3,tall cell papillary carcinoma
"papillary carcinoma, columnar cell",8344/3,papillary carcinoma tall cell
medullary carcinoma with amyloid stroma,8345/3,parafollicular cell carcinoma
medullary carcinoma with amyloid stroma,8345/3,c cell carcinoma
nonencapsulated sclerosing carcinoma,8350/3,nonencapsulated sclerosing adenocarcinoma
nonencapsulated sclerosing carcinoma,8350/3,nonencapsulated sclerosing tumor
nonencapsulated sclerosing carcinoma,8350/3,"papillary carcinoma, diffuse sclerosing"
nonencapsulated sclerosing carcinoma,8350/3,diffuse sclerosing papillary carcinoma
nonencapsulated sclerosing carcinoma,8350/3,papillary carcinoma diffuse sclerosing
multiple endocrine adenomas,8360/1,endocrine adenomatosis
juxtaglomerular tumor,8361/0,reninoma
"adrenal cortical adenoma, nos",8370/0,"adrenal cortical tumor, benign"
"adrenal cortical adenoma, nos",8370/0,"adrenal cortical tumor, nos"
"adrenal cortical adenoma, nos",8370/0,adrenal cortical adenoma
"adrenal cortical adenoma, nos",8370/0,benign adrenal cortical tumor
"adrenal cortical adenoma, nos",8370/0,adrenal cortical tumor benign
"adrenal cortical adenoma, nos",8370/0,adrenal cortical tumor
adrenal cortical carcinoma,8370/3,adrenal cortical adenocarcinoma
adrenal cortical carcinoma,8370/3,"adrenal cortical tumor, malignant"
adrenal cortical carcinoma,8370/3,malignant adrenal cortical tumor
adrenal cortical carcinoma,8370/3,adrenal cortical tumor malignant
"adrenal cortical adenoma, compact cell",8371/0,compact cell adrenal cortical adenoma
"adrenal cortical adenoma, compact cell",8371/0,adrenal cortical adenoma compact cell
"adrenal cortical adenoma, pigmented",8372/0,black adenoma
"adrenal cortical adenoma, pigmented",8372/0,pigmented adenoma
"adrenal cortical adenoma, pigmented",8372/0,pigmented adrenal cortical adenoma
"adrenal cortical adenoma, pigmented",8372/0,adrenal cortical adenoma pigmented
"adrenal cortical adenoma, clear cell",8373/0,clear cell adrenal cortical adenoma
"adrenal cortical adenoma, clear cell",8373/0,adrenal cortical adenoma clear cell
"adrenal cortical adenoma, glomerulosa cell",8374/0,glomerulosa cell adrenal cortical adenoma
"adrenal cortical adenoma, glomerulosa cell",8374/0,adrenal cortical adenoma glomerulosa cell
"adrenal cortical adenoma, mixed cell",8375/0,mixed cell adrenal cortical adenoma
"adrenal cortical adenoma, mixed cell",8375/0,adrenal cortical adenoma mixed cell
"endometrioid adenoma, nos",8380/0,"endometrioid cystadenoma, nos"
"endometrioid adenoma, nos",8380/0,endometrioid adenoma
"endometrioid adenoma, nos",8380/0,endometrioid cystadenoma
"endometrioid adenoma, borderline malignancy",8380/1,"endometrioid cystadenoma, borderline malignancy"
"endometrioid adenoma, borderline malignancy",8380/1,endometrioid tumor of low malignant potential
"endometrioid adenoma, borderline malignancy",8380/1,atypical proliferative endometrioid tumor
"endometrioid adenoma, borderline malignancy",8380/1,borderline malignancy endometrioid adenoma
"endometrioid adenoma, borderline malignancy",8380/1,endometrioid adenoma borderline malignancy
"endometrioid adenoma, borderline malignancy",8380/1,borderline malignancy endometrioid cystadenoma
"endometrioid adenoma, borderline malignancy",8380/1,endometrioid cystadenoma borderline malignancy
"endometrioid adenocarcinoma, nos",8380/3,"endometrioid carcinoma, nos"
"endometrioid adenocarcinoma, nos",8380/3,endometrioid cystadenocarcinoma
"endometrioid adenocarcinoma, nos",8380/3,endometrioid adenocarcinoma
"endometrioid adenocarcinoma, nos",8380/3,endometrioid carcinoma
"endometrioid adenofibroma, nos",8381/0,"endometrioid cystadenofibroma, nos"
"endometrioid adenofibroma, nos",8381/0,endometrioid adenofibroma
"endometrioid adenofibroma, nos",8381/0,endometrioid cystadenofibroma
"endometrioid adenofibroma, borderline malignancy",8381/1,"endometrioid cystadenofibroma, borderline malignancy"
"endometrioid adenofibroma, borderline malignancy",8381/1,borderline malignancy endometrioid adenofibroma
"endometrioid adenofibroma, borderline malignancy",8381/1,endometrioid adenofibroma borderline malignancy
"endometrioid adenofibroma, borderline malignancy",8381/1,borderline malignancy endometrioid cystadenofibroma
"endometrioid adenofibroma, borderline malignancy",8381/1,endometrioid cystadenofibroma borderline malignancy
"endometrioid adenofibroma, malignant",8381/3,"endometrioid cystadenofibroma, malignant"
"endometrioid adenofibroma, malignant",8381/3,malignant endometrioid adenofibroma
"endometrioid adenofibroma, malignant",8381/3,endometrioid adenofibroma malignant
"endometrioid adenofibroma, malignant",8381/3,malignant endometrioid cystadenofibroma
"endometrioid adenofibroma, malignant",8381/3,endometrioid cystadenofibroma malignant
"endometrioid adenocarcinoma, secretory variant",8382/3,secretory variant endometrioid adenocarcinoma
"endometrioid adenocarcinoma, secretory variant",8382/3,endometrioid adenocarcinoma secretory variant
"endometrioid adenocarcinoma, ciliated cell variant",8383/3,ciliated cell variant endometrioid adenocarcinoma
"endometrioid adenocarcinoma, ciliated cell variant",8383/3,endometrioid adenocarcinoma ciliated cell variant
"adenocarcinoma, endocervical type",8384/3,endocervical type adenocarcinoma
"adenocarcinoma, endocervical type",8384/3,adenocarcinoma endocervical type
skin appendage adenoma,8390/0,"skin appendage tumor, benign"
skin appendage adenoma,8390/0,"adnexal tumor, benign"
skin appendage adenoma,8390/0,benign skin appendage tumor
skin appendage adenoma,8390/0,skin appendage tumor benign
skin appendage adenoma,8390/0,benign adnexal tumor
skin appendage adenoma,8390/0,adnexal tumor benign
skin appendage carcinoma,8390/3,adnexal carcinoma
follicular fibroma,8391/0,trichodiscoma
follicular fibroma,8391/0,fibrofolliculoma
follicular fibroma,8391/0,perifollicular fibroma
sweat gland adenoma,8400/0,"sweat gland tumor, benign"
sweat gland adenoma,8400/0,"hidradenoma, nos"
sweat gland adenoma,8400/0,"syringadenoma, nos"
sweat gland adenoma,8400/0,benign sweat gland tumor
sweat gland adenoma,8400/0,sweat gland tumor benign
sweat gland adenoma,8400/0,hidradenoma
sweat gland adenoma,8400/0,syringadenoma
"sweat gland tumor, nos",8400/1,sweat gland tumor
sweat gland adenocarcinoma,8400/3,sweat gland carcinoma
sweat gland adenocarcinoma,8400/3,"sweat gland tumor, malignant"
sweat gland adenocarcinoma,8400/3,malignant sweat gland tumor
sweat gland adenocarcinoma,8400/3,sweat gland tumor malignant
apocrine adenoma,8401/0,apocrine cystadenoma
nodular hidradenoma,8402/0,eccrine acrospiroma
nodular hidradenoma,8402/0,clear cell hidradenoma
"nodular hidradenoma, malignant",8402/3,hidradenocarcinoma
"nodular hidradenoma, malignant",8402/3,malignant nodular hidradenoma
"nodular hidradenoma, malignant",8402/3,nodular hidradenoma malignant
eccrine spiradenoma,8403/0,"spiradenoma, nos"
eccrine spiradenoma,8403/0,spiradenoma
hidrocystoma,8404/0,eccrine cystadenoma
papillary hidradenoma,8405/0,hidradenoma papilliferum
papillary syringadenoma,8406/0,papillary syringocystadenoma
papillary syringadenoma,8406/0,syringocystadenoma papilliferum
"syringoma, nos",8407/0,syringoma
sclerosing sweat duct carcinoma,8407/3,syringomatous carcinoma
sclerosing sweat duct carcinoma,8407/3,microcystic adnexal carcinoma
eccrine papillary adenocarcinoma,8408/3,digital papillary adenocarcinoma
"eccrine poroma, malignant",8409/3,porocarcinoma
"eccrine poroma, malignant",8409/3,malignant eccrine poroma
"eccrine poroma, malignant",8409/3,eccrine poroma malignant
sebaceous adenoma,8410/0,sebaceous epithelioma
sebaceous adenocarcinoma,8410/3,sebaceous carcinoma
ceruminous adenocarcinoma,8420/3,ceruminous carcinoma
"cystadenoma, nos",8440/0,"cystoma, nos"
"cystadenoma, nos",8440/0,cystadenoma
"cystadenoma, nos",8440/0,cystoma
"cystadenocarcinoma, nos",8440/3,cystadenocarcinoma
"serous cystadenoma, nos",8441/0,serous cystoma
"serous cystadenoma, nos",8441/0,serous microcystic adenoma
"serous cystadenoma, nos",8441/0,serous cystadenoma
"serous cystadenocarcinoma, nos",8441/3,"serous adenocarcinoma, nos"
"serous cystadenocarcinoma, nos",8441/3,"serous carcinoma, nos"
"serous cystadenocarcinoma, nos",8441/3,serous cystadenocarcinoma
"serous cystadenocarcinoma, nos",8441/3,serous adenocarcinoma
"serous cystadenocarcinoma, nos",8441/3,serous carcinoma
"serous cystadenoma, borderline malignancy",8442/1,"serous tumor, nos, of low malignant potential"
"serous cystadenoma, borderline malignancy",8442/1,atypical proliferating serous tumor
"serous cystadenoma, borderline malignancy",8442/1,borderline malignancy serous cystadenoma
"serous cystadenoma, borderline malignancy",8442/1,serous cystadenoma borderline malignancy
"serous cystadenoma, borderline malignancy",8442/1,of low malignant potential serous tumor
"serous cystadenoma, borderline malignancy",8442/1,serous tumor of low malignant potential
clear cell cystic tumor of borderline malignancy,8444/1,atypical proliferating clear cell tumor
"papillary cystadenoma, nos",8450/0,papillary cystadenoma
"papillary cystadenocarcinoma, nos",8450/3,papillocystic adenocarcinoma
"papillary cystadenocarcinoma, nos",8450/3,papillary cystadenocarcinoma
"papillary cystadenoma, borderline malignancy",8451/1,borderline malignancy papillary cystadenoma
"papillary cystadenoma, borderline malignancy",8451/1,papillary cystadenoma borderline malignancy
solid pseudopapillary tumor,8452/1,papillary cystic tumor
solid pseudopapillary tumor,8452/1,solid and papillary epithelial neoplasm
solid pseudopapillary tumor,8452/1,solid and cystic tumor
"intraductal papillary-mucinous carcinoma, non-invasive",8453/2,non-invasive intraductal papillary-mucinous carcinoma
"intraductal papillary-mucinous carcinoma, non-invasive",8453/2,intraductal papillary-mucinous carcinoma non-invasive
"intraductal papillary-mucinous carcinoma, invasive",8453/3,invasive intraductal papillary-mucinous carcinoma
"intraductal papillary-mucinous carcinoma, invasive",8453/3,intraductal papillary-mucinous carcinoma invasive
"papillary serous cystadenoma, nos",8460/0,papillary serous cystadenoma
papillary serous cystadenocarcinoma,8460/3,papillary serous adenocarcinoma
papillary serous cystadenocarcinoma,8460/3,micropapillary serous carcinoma
serous surface papillary carcinoma,8461/3,primary serous papillary carcinoma of peritoneum
serous papillary cystic tumor of borderline malignancy,8462/1,"papillary serous cystadenoma, borderline malignancy"
serous papillary cystic tumor of borderline malignancy,8462/1,papillary serous tumor of low malignant potential
serous papillary cystic tumor of borderline malignancy,8462/1,atypical proliferative papillary serous tumor
serous papillary cystic tumor of borderline malignancy,8462/1,borderline malignancy papillary serous cystadenoma
serous papillary cystic tumor of borderline malignancy,8462/1,papillary serous cystadenoma borderline malignancy
"mucinous cystadenoma, nos",8470/0,mucinous cystoma
"mucinous cystadenoma, nos",8470/0,"pseudomucinous cystadenoma, nos"
"mucinous cystadenoma, nos",8470/0,mucinous cystadenoma
"mucinous cystadenoma, nos",8470/0,pseudomucinous cystadenoma
"mucinous cystadenocarcinoma, non-invasive",8470/2,non-invasive mucinous cystadenocarcinoma
"mucinous cystadenocarcinoma, non-invasive",8470/2,mucinous cystadenocarcinoma non-invasive
"mucinous cystadenocarcinoma, nos",8470/3,pseudomucinous adenocarcinoma
"mucinous cystadenocarcinoma, nos",8470/3,"pseudomucinous cystadenocarcinoma, nos"
"mucinous cystadenocarcinoma, nos",8470/3,mucinous cystadenocarcinoma
"mucinous cystadenocarcinoma, nos",8470/3,pseudomucinous cystadenocarcinoma
"papillary mucinous cystadenoma, nos",8471/0,"papillary pseudomucinous cystadenoma, nos"
"papillary mucinous cystadenoma, nos",8471/0,papillary mucinous cystadenoma
"papillary mucinous cystadenoma, nos",8471/0,papillary pseudomucinous cystadenoma
papillary mucinous cystadenocarcinoma,8471/3,papillary pseudomucinous cystadenocarcinoma
mucinous cystic tumor of borderline malignancy,8472/1,"mucinous cystadenoma, borderline malignancy"
mucinous cystic tumor of borderline malignancy,8472/1,"pseudomucinous cystadenoma, borderline malignancy"
mucinous cystic tumor of borderline malignancy,8472/1,"mucinous tumor, nos, of low malignant potential"
mucinous cystic tumor of borderline malignancy,8472/1,atypical proliferative mucinous tumor
mucinous cystic tumor of borderline malignancy,8472/1,borderline malignancy mucinous cystadenoma
mucinous cystic tumor of borderline malignancy,8472/1,mucinous cystadenoma borderline malignancy
mucinous cystic tumor of borderline malignancy,8472/1,borderline malignancy pseudomucinous cystadenoma
mucinous cystic tumor of borderline malignancy,8472/1,pseudomucinous cystadenoma borderline malignancy
mucinous cystic tumor of borderline malignancy,8472/1,of low malignant potential mucinous tumor
mucinous cystic tumor of borderline malignancy,8472/1,mucinous tumor of low malignant potential
"papillary mucinous cystadenoma, borderline malignancy",8473/1,"papillary pseudomucinous cystadenoma, borderline malignancy"
"papillary mucinous cystadenoma, borderline malignancy",8473/1,papillary mucinous tumor of low malignant potential
"papillary mucinous cystadenoma, borderline malignancy",8473/1,borderline malignancy papillary mucinous cystadenoma
"papillary mucinous cystadenoma, borderline malignancy",8473/1,papillary mucinous cystadenoma borderline malignancy
"papillary mucinous cystadenoma, borderline malignancy",8473/1,borderline malignancy papillary pseudomucinous cystadenoma
"papillary mucinous cystadenoma, borderline malignancy",8473/1,papillary pseudomucinous cystadenoma borderline malignancy
mucinous adenocarcinoma,8480/3,mucinous carcinoma
mucinous adenocarcinoma,8480/3,colloid adenocarcinoma
mucinous adenocarcinoma,8480/3,colloid carcinoma
mucinous adenocarcinoma,8480/3,gelatinous adenocarcinoma
mucinous adenocarcinoma,8480/3,gelatinous carcinoma
mucinous adenocarcinoma,8480/3,mucoid adenocarcinoma
mucinous adenocarcinoma,8480/3,mucoid carcinoma
mucinous adenocarcinoma,8480/3,mucous adenocarcinoma
mucinous adenocarcinoma,8480/3,mucous carcinoma
mucinous adenocarcinoma,8480/3,pseudomyxoma peritonei with unknown primary site
mucin-producing adenocarcinoma,8481/3,mucin-producing carcinoma
mucin-producing adenocarcinoma,8481/3,mucin-secreting adenocarcinoma
mucin-producing adenocarcinoma,8481/3,mucin-secreting carcinoma
"mucinous adenocarcinoma, endocervical type",8482/3,endocervical type mucinous adenocarcinoma
"mucinous adenocarcinoma, endocervical type",8482/3,mucinous adenocarcinoma endocervical type
signet ring cell carcinoma,8490/3,signet ring cell adenocarcinoma
metastatic signet ring cell carcinoma,8490/6,krukenberg tumor
"intraductal carcinoma, noninfiltrating, nos",8500/2,"intraductal adenocarcinoma, noninfiltrating, nos"
"intraductal carcinoma, noninfiltrating, nos",8500/2,"intraductal carcinoma, nos"
"intraductal carcinoma, noninfiltrating, nos",8500/2,"ductal carcinoma in situ, nos"
"intraductal carcinoma, noninfiltrating, nos",8500/2,"dcis, nos"
"intraductal carcinoma, noninfiltrating, nos",8500/2,ductal intraepithelial neoplasia 3
"intraductal carcinoma, noninfiltrating, nos",8500/2,din 3
"intraductal carcinoma, noninfiltrating, nos",8500/2,noninfiltrating intraductal carcinoma
"intraductal carcinoma, noninfiltrating, nos",8500/2,intraductal carcinoma noninfiltrating
"intraductal carcinoma, noninfiltrating, nos",8500/2,noninfiltrating intraductal adenocarcinoma
"intraductal carcinoma, noninfiltrating, nos",8500/2,intraductal adenocarcinoma noninfiltrating
"intraductal carcinoma, noninfiltrating, nos",8500/2,intraductal carcinoma
"intraductal carcinoma, noninfiltrating, nos",8500/2,ductal carcinoma in situ
"intraductal carcinoma, noninfiltrating, nos",8500/2,dcis
"infiltrating duct carcinoma, nos",8500/3,infiltrating duct adenocarcinoma
"infiltrating duct carcinoma, nos",8500/3,"duct adenocarcinoma, nos"
"infiltrating duct carcinoma, nos",8500/3,"duct carcinoma, nos"
"infiltrating duct carcinoma, nos",8500/3,duct cell carcinoma
"infiltrating duct carcinoma, nos",8500/3,"ductal carcinoma, nos"
"infiltrating duct carcinoma, nos",8500/3,infiltrating duct carcinoma
"infiltrating duct carcinoma, nos",8500/3,duct adenocarcinoma
"infiltrating duct carcinoma, nos",8500/3,duct carcinoma
"infiltrating duct carcinoma, nos",8500/3,ductal carcinoma
"comedocarcinoma, noninfiltrating",8501/2,"ductal carcinoma in situ, comedo type"
"comedocarcinoma, noninfiltrating",8501/2,"dcis, comedo type"
"comedocarcinoma, noninfiltrating",8501/2,noninfiltrating comedocarcinoma
"comedocarcinoma, noninfiltrating",8501/2,comedocarcinoma noninfiltrating
"comedocarcinoma, noninfiltrating",8501/2,comedo type ductal carcinoma in situ
"comedocarcinoma, noninfiltrating",8501/2,ductal carcinoma in situ comedo type
"comedocarcinoma, noninfiltrating",8501/2,comedo type dcis
"comedocarcinoma, noninfiltrating",8501/2,dcis comedo type
"comedocarcinoma, nos",8501/3,comedocarcinoma
secretory carcinoma of breast,8502/3,juvenile carcinoma of breast
intraductal papilloma,8503/0,"duct adenoma, nos"
intraductal papilloma,8503/0,ductal papilloma
intraductal papilloma,8503/0,duct adenoma
noninfiltrating intraductal papillary adenocarcinoma,8503/2,noninfiltrating intraductal papillary carcinoma
noninfiltrating intraductal papillary adenocarcinoma,8503/2,"intraductal papillary adenocarcinoma, nos"
noninfiltrating intraductal papillary adenocarcinoma,8503/2,"intraductal papillary carcinoma, nos"
noninfiltrating intraductal papillary adenocarcinoma,8503/2,"ductal carcinoma in situ, papillary"
noninfiltrating intraductal papillary adenocarcinoma,8503/2,"dcis, papillary"
noninfiltrating intraductal papillary adenocarcinoma,8503/2,intraductal papillary adenocarcinoma
noninfiltrating intraductal papillary adenocarcinoma,8503/2,intraductal papillary carcinoma
noninfiltrating intraductal papillary adenocarcinoma,8503/2,papillary ductal carcinoma in situ
noninfiltrating intraductal papillary adenocarcinoma,8503/2,ductal carcinoma in situ papillary
noninfiltrating intraductal papillary adenocarcinoma,8503/2,papillary dcis
noninfiltrating intraductal papillary adenocarcinoma,8503/2,dcis papillary
intraductal papillary adenocarcinoma with invasion,8503/3,infiltrating papillary adenocarcinoma
intraductal papillary adenocarcinoma with invasion,8503/3,infiltrating and papillary adenocarcinoma
intracystic papillary adenoma,8504/0,intracystic papilloma
"intracystic carcinoma, nos",8504/3,intracystic papillary adenocarcinoma
"intracystic carcinoma, nos",8504/3,intracystic carcinoma
"intraductal papillomatosis, nos",8505/0,diffuse intraductal papillomatosis
"intraductal papillomatosis, nos",8505/0,intraductal papillomatosis
adenoma of nipple,8506/0,subareolar duct papillomatosis
intraductal micropapillary carcinoma,8507/2,"ductal carcinoma in situ, micropapillary"
intraductal micropapillary carcinoma,8507/2,"intraductal carcinoma, clinging"
intraductal micropapillary carcinoma,8507/2,micropapillary ductal carcinoma in situ
intraductal micropapillary carcinoma,8507/2,ductal carcinoma in situ micropapillary
intraductal micropapillary carcinoma,8507/2,clinging intraductal carcinoma
intraductal micropapillary carcinoma,8507/2,intraductal carcinoma clinging
"medullary carcinoma, nos",8510/3,medullary adenocarcinoma
"medullary carcinoma, nos",8510/3,medullary carcinoma
"duct carcinoma, desmoplastic type",8514/3,desmoplastic type duct carcinoma
"duct carcinoma, desmoplastic type",8514/3,duct carcinoma desmoplastic type
"lobular carcinoma in situ, nos",8520/2,"lobular carcinoma, noninfiltrating"
"lobular carcinoma in situ, nos",8520/2,"lcis, nos"
"lobular carcinoma in situ, nos",8520/2,lobular carcinoma in situ
"lobular carcinoma in situ, nos",8520/2,noninfiltrating lobular carcinoma
"lobular carcinoma in situ, nos",8520/2,lobular carcinoma noninfiltrating
"lobular carcinoma in situ, nos",8520/2,lcis
"lobular carcinoma, nos",8520/3,lobular adenocarcinoma
"lobular carcinoma, nos",8520/3,"infiltrating lobular carcinoma, nos"
"lobular carcinoma, nos",8520/3,lobular carcinoma
"lobular carcinoma, nos",8520/3,infiltrating lobular carcinoma
"liposarcoma, well differentiated",8851/3,"liposarcoma, differentiated"
"liposarcoma, well differentiated",8851/3,lipoma-like liposarcoma
"liposarcoma, well differentiated",8851/3,sclerosing  liposarcoma
"liposarcoma, well differentiated",8851/3,inflammatory liposarcoma
"liposarcoma, well differentiated",8851/3,well differentiated liposarcoma
"liposarcoma, well differentiated",8851/3,liposarcoma well differentiated
"liposarcoma, well differentiated",8851/3,differentiated liposarcoma
"liposarcoma, well differentiated",8851/3,liposarcoma differentiated
fibromyxolipoma,8852/0,myxolipoma
myxoid liposarcoma,8852/3,myxoliposarcoma
intramuscular lipoma,8856/0,infiltrating lipoma
intramuscular lipoma,8856/0,infiltrating angiolipoma
"angiolipoma, nos",8861/0,angiolipoma
hibernoma,8880/0,fetal fat cell lipoma
hibernoma,8880/0,brown fat tumor
lipoblastomatosis,8881/0,"fetal lipoma, nos"
lipoblastomatosis,8881/0,fetal lipomatosis
lipoblastomatosis,8881/0,lipoblastoma
lipoblastomatosis,8881/0,fetal lipoma
"leiomyoma, nos",8890/0,fibroid uterus
"leiomyoma, nos",8890/0,fibromyoma
"leiomyoma, nos",8890/0,leiomyofibroma
"leiomyoma, nos",8890/0,plexiform leiomyoma
"leiomyoma, nos",8890/0,lipoleiomyoma
"leiomyoma, nos",8890/0,leiomyoma
"leiomyomatosis, nos",8890/1,intravascular leiomyomatosis
"leiomyomatosis, nos",8890/1,leiomyomatosis
"leiomyosarcoma, nos",8890/3,leiomyosarcoma
epithelioid leiomyoma,8891/0,leiomyoblastoma
bizarre leiomyoma,8893/0,symplastic leiomyoma
bizarre leiomyoma,8893/0,atypical leiomyoma
bizarre leiomyoma,8893/0,pleomorphic leiomyoma
angiomyoma,8894/0,vascular leiomyoma
angiomyoma,8894/0,angioleiomyoma
smooth muscle tumor of uncertain malignant potential,8897/1,"smooth muscle tumor, nos"
smooth muscle tumor of uncertain malignant potential,8897/1,smooth muscle tumor
"rhabdomyoma, nos",8900/0,rhabdomyoma
"rhabdomyosarcoma, nos",8900/3,rhabdosarcoma
"rhabdomyosarcoma, nos",8900/3,rhabdomyosarcoma
"pleomorphic rhabdomyosarcoma, adult type",8901/3,"pleomorphic rhabdomyosarcoma, nos"
"pleomorphic rhabdomyosarcoma, adult type",8901/3,adult type pleomorphic rhabdomyosarcoma
"pleomorphic rhabdomyosarcoma, adult type",8901/3,pleomorphic rhabdomyosarcoma adult type
"pleomorphic rhabdomyosarcoma, adult type",8901/3,pleomorphic rhabdomyosarcoma
mixed type rhabdomyosarcoma,8902/3,mixed embryonal rhabdomyosarcoma and alveolar rhabdomyosarcoma
adult rhabdomyoma,8904/0,glycogenic rhabdomyoma
"embryonal rhabdomyosarcoma, nos",8910/3,"embryonal rhabdomyosarcoma, pleomorphic"
"embryonal rhabdomyosarcoma, nos",8910/3,sarcoma botryoides
"embryonal rhabdomyosarcoma, nos",8910/3,botryoid sarcoma
"embryonal rhabdomyosarcoma, nos",8910/3,embryonal rhabdomyosarcoma
"embryonal rhabdomyosarcoma, nos",8910/3,pleomorphic embryonal rhabdomyosarcoma
"embryonal rhabdomyosarcoma, nos",8910/3,embryonal rhabdomyosarcoma pleomorphic
rhabdomyosarcoma with ganglionic differentiation,8921/3,ectomesenchymoma
"endometrial stromal sarcoma, nos",8930/3,"endometrial sarcoma, nos"
"endometrial stromal sarcoma, nos",8930/3,"endometrial stromal sarcoma, high grade"
"endometrial stromal sarcoma, nos",8930/3,endometrial stromal sarcoma
"endometrial stromal sarcoma, nos",8930/3,endometrial sarcoma
"endometrial stromal sarcoma, nos",8930/3,high grade endometrial stromal sarcoma
"endometrial stromal sarcoma, nos",8930/3,endometrial stromal sarcoma high grade
"endometrial stromal sarcoma, low grade",8931/3,endolymphatic stromal myosis
"endometrial stromal sarcoma, low grade",8931/3,endometrial stromatosis
"endometrial stromal sarcoma, low grade",8931/3,stromal endometriosis
"endometrial stromal sarcoma, low grade",8931/3,"stromal myosis, nos"
"endometrial stromal sarcoma, low grade",8931/3,low grade endometrial stromal sarcoma
"endometrial stromal sarcoma, low grade",8931/3,endometrial stromal sarcoma low grade
"endometrial stromal sarcoma, low grade",8931/3,stromal myosis
adenomyoma,8932/0,atypical polypoid adenomyoma
"stromal tumor, benign",8935/0,benign stromal tumor
"stromal tumor, benign",8935/0,stromal tumor benign
"stromal tumor, nos",8935/1,stromal tumor
"stromal sarcoma, nos",8935/3,stromal sarcoma
ameloblastic odontosarcoma,9290/3,ameloblastic fibrodentinosarcoma
ameloblastic odontosarcoma,9290/3,ameloblastic fibro-odontosarcoma
adenomatoid odontogenic tumor,9300/0,adenoameloblastoma
"ameloblastoma, nos",9310/0,"adamantinoma, nos"
"ameloblastoma, nos",9310/0,ameloblastoma
"ameloblastoma, nos",9310/0,adamantinoma
"ameloblastoma, malignant",9310/3,"adamantinoma, malignant"
"ameloblastoma, malignant",9310/3,malignant ameloblastoma
"ameloblastoma, malignant",9310/3,ameloblastoma malignant
"ameloblastoma, malignant",9310/3,malignant adamantinoma
"ameloblastoma, malignant",9310/3,adamantinoma malignant
odontogenic myxoma,9320/0,odontogenic myxofibroma
central odontogenic fibroma,9321/0,"odontogenic fibroma, nos"
central odontogenic fibroma,9321/0,odontogenic fibroma
ameloblastic fibrosarcoma,9330/3,ameloblastic sarcoma
ameloblastic fibrosarcoma,9330/3,odontogenic fibrosarcoma
calcifying epithelial odontogenic tumor,9340/0,pindborg tumor
craniopharyngioma,9350/1,rathke pouch tumor
"craniopharyngioma, adamantinomatous",9351/1,adamantinomatous craniopharyngioma
"craniopharyngioma, adamantinomatous",9351/1,craniopharyngioma adamantinomatous
"craniopharyngioma, papillary",9352/1,papillary craniopharyngioma
"craniopharyngioma, papillary",9352/1,craniopharyngioma papillary
pineoblastoma,9362/3,mixed pineal tumor
pineoblastoma,9362/3,mixed pineocytoma-pineoblastoma
pineoblastoma,9362/3,pineal parenchymal tumor of intermediate differentiation
pineoblastoma,9362/3,transitional pineal tumor
melanotic neuroectodermal tumor,9363/0,retinal anlage tumor
melanotic neuroectodermal tumor,9363/0,melanoameloblastoma
melanotic neuroectodermal tumor,9363/0,melanotic progonoma
peripheral neuroectodermal tumor,9364/3,"neuroectodermal tumor, nos"
peripheral neuroectodermal tumor,9364/3,"peripheral primitive neuroectodermal tumor, nos"
peripheral neuroectodermal tumor,9364/3,ppnet
peripheral neuroectodermal tumor,9364/3,neuroectodermal tumor
peripheral neuroectodermal tumor,9364/3,peripheral primitive neuroectodermal tumor
"chordoma, nos",9370/3,chordoma
"glioma, malignant",9380/3,"glioma, nos"
"glioma, malignant",9380/3,malignant glioma
"glioma, malignant",9380/3,glioma malignant
"glioma, malignant",9380/3,glioma
mixed glioma,9382/3,oligoastrocytoma
mixed glioma,9382/3,anaplastic oligoastrocytoma
subependymoma,9383/1,subependymal glioma
subependymoma,9383/1,"subependymal astrocytoma, nos"
subependymoma,9383/1,mixed subependymoma-ependymoma
subependymoma,9383/1,subependymal astrocytoma
"choroid plexus papilloma, nos",9390/0,choroid plexus papilloma
choroid plexus carcinoma,9390/3,"choroid plexus papilloma, anaplastic"
